
Label,Imgur URL
Hero Image,https://i.imgur.com/ihyIX6W.jpg
Front Exterior View,https://i.imgur.com/fAmBPQV.jpg
Lakefront View,https://i.imgur.com/cWVjO1a.jpg
Evening Exterior,https://i.imgur.com/1dxARVC.jpg
Grand Living Room,https://i.imgur.com/WOusRce.jpg
Ornate Terrace,https://i.imgur.com/UCFL0QD.jpg
Master Bedroom,https://i.imgur.com/qgrzl0w.jpg
Lake Panorama,https://i.imgur.com/PzjxDD2.jpg
Swimming Pool,https://i.imgur.com/PzjxDD2.jpg
Billiards Room,https://i.imgur.com/zavNZSx.jpg
Teak Kitchen,https://i.imgur.com/GOt2Lt8.jpg
Staircase,https://i.imgur.com/A07gGvJ.jpg
Dining Area,https://i.imgur.com/cN60Mp2.jpg
Garden View,https://i.imgur.com/C4PtMFO.jpg
Bedroom Suite,https://i.imgur.com/mnwcYZS.jpg
Interior Detail,https://i.imgur.com/zavNZSx.jpg
Lake Sunset,https://i.imgur.com/zINN2Hu.jpg
Courtyard,https://i.imgur.com/1dxARVC.jpg
Night View,https://i.imgur.com/zINN2Hu.jpg
